Month,Views
0,1
1,15
2,20
3,24
4,100
5,85
6,41
7,33
8,15
9,10
10,12
11,6
12,5
13,9
14,4
15,3
16,3
17,3
18,3
19,3
20,3
21,2
22,2
23,2
24,2
25,4
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,3
36,4
37,4
